uid,id,rarity,time,banner,type,manual
1731550200000154122,20012,3,2024-11-14T02:15:35.000Z,2050,11,false
1731550200000154222,1108,4,2024-11-14T02:15:35.000Z,2050,11,false
1731550200000154322,20001,3,2024-11-14T02:15:35.000Z,2050,11,false
1731550200000154422,20020,3,2024-11-14T02:15:35.000Z,2050,11,false
1731550200000154522,20008,3,2024-11-14T02:15:35.000Z,2050,11,false
1731550200000156922,20012,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157022,20011,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157122,20015,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157222,20014,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157322,20018,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157422,1001,4,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157522,20006,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157622,20008,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157722,20009,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000157822,20019,3,2024-11-14T02:15:44.000Z,2050,11,false
1731550200000158522,20020,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000158622,20000,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000158722,20005,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000158822,20014,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000158922,1001,4,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000159022,20005,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000159122,20009,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000159222,20002,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000159322,20004,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000159422,20005,3,2024-11-14T02:15:52.000Z,2050,11,false
1731550200000160922,20000,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161022,21005,4,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161122,20010,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161222,20014,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161322,20000,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161422,20017,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161522,20002,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161622,20020,3,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161722,1304,5,2024-11-14T02:15:59.000Z,2050,11,false
1731550200000161822,1106,4,2024-11-14T02:15:59.000Z,2050,11,false
1733281800001209722,1201,4,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001209822,21000,4,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001209922,20017,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210022,20018,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210122,20008,3,2024-12-04T03:07:26.000Z,2051,11,false
